VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments
2KzfcX6sKmg,https://www.youtube.com/watch?v=2KzfcX6sKmg,UC0CqSQRSo8ezpw0pcpenXZw,Kim,Personal,Kinh nghiệm học đại học từ xa ở Nhật. Cách mình tự học hiệu quả trong năm nhất.,0,83,1020,2023-12-14T01:04:30Z,12M48S,0
EZG_w3aJpLM,https://www.youtube.com/watch?v=EZG_w3aJpLM,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,Cách Đăng Ký ĐẠI HỌC TỪ XA Nhanh Nhất 2026 – Đừng Bỏ Lỡ!,0,102,5975,2025-08-28T04:49:52Z,32S,3
w-EK_c2IZqU,https://www.youtube.com/watch?v=w-EK_c2IZqU,UCG9WA-TT5YVbLQPyS5T458w,Trung tâm đào tạo từ xa Đại học Thái Nguyên TNU,Personal,Hướng dẫn sử dụng hệ thống E-learning - Trung tâm đào tạo từ xa Đại học Thái Nguyên TNU e-Learning,62,367,9541,2021-10-07T08:39:06Z,21M45S,3
8GsMqvKwN88,https://www.youtube.com/watch?v=8GsMqvKwN88,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,Cảm Nhận Thực Tế Của Sinh Viên Học Đại Học Từ Xa eLearning,54,102,20425,2023-11-15T03:04:53Z,1M3S,1
tZCyjDevslE,https://www.youtube.com/watch?v=tZCyjDevslE,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,💥Ngành Ngôn Ngữ Trung Hệ Từ Xa - Trường Đại Học Mở EHOU #hoctiengtrungonline #nntvhd #nnt #nntn,14,102,1049,2025-10-17T03:57:22Z,56S,1
2mNYfa0oBVY,https://www.youtube.com/watch?v=2mNYfa0oBVY,UCzjac_pFFg3knOpV0iVk-5g,Đai Học Trực Tuyến,Personal,Đại học mở hệ từ xa,2,1,1404,2024-03-11T02:40:43Z,1M14S,0
pc6N7wY3gck,https://www.youtube.com/watch?v=pc6N7wY3gck,UCmeACgf1NkWm7NQ3RJGRyGw,Nguyễn Hữu Trí,Personal,Bằng ĐẠI HỌC có quan trọng không anh? | Nguyễn Hữu Trí | Đài tiếng nói ông Quéo #1,5249,1040000,127429,2020-07-14T04:00:09Z,8M2S,391
D61mG71xkaE,https://www.youtube.com/watch?v=D61mG71xkaE,UCCv9Vriz2tOkRXHODaFZI9Q,Giáo Dục Trực Tuyến EduOn,Personal,Bạn Có Thực Sự Phù Hợp Với Đại Học Từ Xa? - Giáo Dục Trực Tuyến EduOn,5,80,236,2023-05-21T02:52:52Z,1M10S,0
RikhQJ2JwX0,https://www.youtube.com/watch?v=RikhQJ2JwX0,UCoHRvuxNPJPwHuUCN6tbdxw,Rain Channel,Organization,Q&A Tất Tần Tật học đại học từ xa tại Hàn Quốc trường 세종사이버대학교,112,101000,3294,2021-07-13T17:03:38Z,30M11S,79
URKe9N9tcnk,https://www.youtube.com/watch?v=URKe9N9tcnk,UCRUur5tkU29G16DlVXVrNTg,Na Tung Tăng,Personal,HƯỚNG DẪN XEM TÀI LIỆU NHẬP HỌC ĐẠI HỌC TỪ XA - ĐẠI HỌC MỞ HÀ NỘI,7,15,1508,2020-08-18T04:48:27Z,5M44S,2
CCP5RU5Yy5I,https://www.youtube.com/watch?v=CCP5RU5Yy5I,UCHtQPxd07Xg0LjwDar8qthQ,Đại Học Từ Xa,Personal,Học Đại học Từ Xa - Trường Đại học Mở Hà Nội,0,1,5744,2025-03-26T04:11:40Z,2M31S,0
coWLEM9C_RA,https://www.youtube.com/watch?v=coWLEM9C_RA,UC8HVxOnAQAjtZbFyjzfcEPQ,Năng Lực Chọn Trường,Personal,Lựa chọn ngành và trường Đại học hệ Đào tạo từ xa NTN? Những lưu ý ban đầu,24,15,2067,2025-08-29T07:06:57Z,6M51S,0
AT9fH7DsM4E,https://www.youtube.com/watch?v=AT9fH7DsM4E,UCCv9Vriz2tOkRXHODaFZI9Q,Giáo Dục Trực Tuyến EduOn,Personal,Những Hiểu Lầm Về Đại Học Từ Xa - Giáo Dục Trực Tuyến EduOn,1,80,53,2023-07-03T14:06:14Z,1M34S,0
k6i9b0qPmY0,https://www.youtube.com/watch?v=k6i9b0qPmY0,UCHv4w-1g5i63oPo4qC3Hg1w,Đại Học Từ Xa Kinh Tế Quốc Dân,Personal,Đại Học Từ Xa Đại Học Kinh Tế Quốc Dân,1,3,382,2025-06-24T03:51:46Z,3M23S,1
3Jo53lI2PCA,https://www.youtube.com/watch?v=3Jo53lI2PCA,UC0CqSQRSo8ezpw0pcpenXZw,Kim,Personal,Kinh nghiệm học đại học từ xa ở Nhật phần 2,0,83,1024,2023-12-14T12:25:37Z,14M36S,0
6RXqOGS2owE,https://www.youtube.com/watch?v=6RXqOGS2owE,UCr7RNQB4deyiJ4i-EU8SNkg,Đại Học Trà Vinh (TVU) - Đại học số,Personal,Học đại học từ xa tại Trường ĐH Trà Vinh bạn sẽ có được những gì? #daihoctravinh #study #education,1,347,203,2024-10-13T12:23:50Z,1M40S,2
AEsN9Ed5ob8,https://www.youtube.com/watch?v=AEsN9Ed5ob8,UCG9WA-TT5YVbLQPyS5T458w,Trung tâm đào tạo từ xa Đại học Thái Nguyên TNU,Personal,Trường Đại học Thái Nguyên - Trung tâm đào tạo từ xa TNU eLearning,27,367,3919,2021-10-07T04:30:19Z,22M7S,7
YL1FSr1VFWI,https://www.youtube.com/watch?v=YL1FSr1VFWI,UCtt5skvCp8B5oxuVY4FLExg,Đại học Kinh tế Quốc dân - Hệ đào tạo từ xa,Personal,Đại Học Kinh Tế Quốc Dân  - Chương trình đào tạo từ xa sẽ NTN,15,392,1553,2024-08-18T07:55:29Z,3M30S,4
coSQC8R2ZKU,https://www.youtube.com/watch?v=coSQC8R2ZKU,UCSYKkgP-hPULSBKmaYfdVfw,Đại học Kinh Tế Quốc Dân - Hệ từ xa,Personal,Đại học Kinh tế Quốc dân - Hệ đào tạo từ xa tuyển sinh Tại Nhật Bản,0,27,4103,2025-06-23T04:08:45Z,31S,0
rgM2_QckaPU,https://www.youtube.com/watch?v=rgM2_QckaPU,UCG9WA-TT5YVbLQPyS5T458w,Trung tâm đào tạo từ xa Đại học Thái Nguyên TNU,Personal,Học Hệ Từ Xa Đại Học Thái Nguyên - Thời Gian Học 2 - 4 Năm,0,367,12512,2026-03-11T01:41:01Z,27S,0
1Oc_CEAEGaM,https://www.youtube.com/watch?v=1Oc_CEAEGaM,UC7AF-NDKwnSsuLWCbhAm4uQ,HVCN Bưu Chính Viễn Thông - Đại Học Từ Xa PTIT,Personal,03 Lầm Tưởng Về Hệ Đại Học Từ Xa - Học Viện Công Nghệ Bưu Chính Viễn Thông #ptit #elearning #shorts,15,42,2024,2024-09-27T00:00:01Z,43S,1
g2StDP7x87E,https://www.youtube.com/watch?v=g2StDP7x87E,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,💥Ngành Công Nghệ Thông Tin Hệ Từ Xa - Trường Đại Học Mở EHOU #daihocchonguoidilam  #cntt,2,102,168,2025-10-17T04:14:21Z,56S,1
DPhHH2Xw6gg,https://www.youtube.com/watch?v=DPhHH2Xw6gg,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,💥Ngành QUẢN TRỊ KINH DOANH Hệ Từ Xa - Trường Đại Học Mở EHOU #quảntrịkinhdoanh #quantrikinhdoanh,85,102,60145,2025-10-16T09:40:11Z,56S,1
ugOBZWfboDA,https://www.youtube.com/watch?v=ugOBZWfboDA,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,🎓 Tuyển Sinh Ngành Luật Hệ Từ Xa - Trường Đại Học Mở EHOU ⚖️ #nganhluat,1099,102,510493,2025-09-30T04:04:15Z,34S,0
0FYd6B1PjZ8,https://www.youtube.com/watch?v=0FYd6B1PjZ8,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,"TRƯỜNG ĐẠI HỌC ĐẦU TIÊN ĐÀO TẠO ""HỆ TỪ XA""",108,102,126424,2024-07-10T07:48:01Z,48S,4
0N2jrJKW6hw,https://www.youtube.com/watch?v=0N2jrJKW6hw,UCCdh_WGUf8iqz955YIw6TZw,Đại học Từ xa Học viện Ngân hàng,Personal,HỆ THỐNG HỌC TẬP CHƯƠNG TRÌNH ĐÀO TẠO ĐẠI HỌC TỪ XA HỌC VIỆN NGÂN HÀNG,0,6,49,2025-10-09T04:21:14Z,1M29S,0
ogBkN8uRYGw,https://www.youtube.com/watch?v=ogBkN8uRYGw,UCTXoGbg5do1YKHQjDD6bodg,Eteaching - Xu hướng mới,Personal,5 lý do bạn nên chọn Đại học từ xa,1,10,53,2023-03-22T01:26:22Z,34S,0
ILQuE0-00nk,https://www.youtube.com/watch?v=ILQuE0-00nk,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,Tuyển Sinh Ngôn Ngữ Anh Hệ Từ Xa - Tr.Đại Học Mở HN #ngonnguanh #daihoctuxa #tienganhchonguoidilam,3,102,1622,2025-09-09T04:24:18Z,48S,0
XKi_BpM-Ex4,https://www.youtube.com/watch?v=XKi_BpM-Ex4,UCCv9Vriz2tOkRXHODaFZI9Q,Giáo Dục Trực Tuyến EduOn,Personal,Tại Sao Các Bạn Nên Chọn học Đại Học Từ Xa? - Giáo Dục Trực Tuyến EduOn,7,80,303,2023-05-19T03:36:30Z,36S,0
z1QNh7_-6bA,https://www.youtube.com/watch?v=z1QNh7_-6bA,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,Đại học hệ từ xa là gì,21,102,2191,2025-08-12T03:45:15Z,41S,2
RZ7WzWB7p34,https://www.youtube.com/watch?v=RZ7WzWB7p34,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,ĐẠI HỌC TỪ XA E-LEARNING CHẤT LƯỢNG CAO CHI PHÍ HỢP LÝ NHANH CHÓNG GIẢI PHÁP HỌC TẬP TINH GỌN,81,102,10320,2023-11-24T04:57:24Z,54S,0
eslD0C8S2QI,https://www.youtube.com/watch?v=eslD0C8S2QI,UCRUur5tkU29G16DlVXVrNTg,Na Tung Tăng,Personal,HƯỚNG DẪN ĐĂNG NHẬP VÀ TÍNH ĐIỂM MÔN HỌC ĐÀO TẠO TỪ XA - ĐẠI HỌC MỞ HÀ NỘI,18,15,2568,2020-08-18T04:48:56Z,9M52S,6
9cr6VlCkp9Q,https://www.youtube.com/watch?v=9cr6VlCkp9Q,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,💥Ngành Luật Hệ Từ Xa - Trường Đại Học Mở EHOU #daihocluat #nganhluat #daihocchonguoidilam,31,102,23709,2025-10-17T04:24:37Z,54S,1
qyUkamJ01Ec,https://www.youtube.com/watch?v=qyUkamJ01Ec,UCr7RNQB4deyiJ4i-EU8SNkg,Đại Học Trà Vinh (TVU) - Đại học số,Personal,"Học Đại học hệ từ xa có được học lên Thạc sĩ, Tiến sĩ không?",32,347,1843,2024-11-27T09:32:59Z,1M4S,2
JOcJjkpRiyM,https://www.youtube.com/watch?v=JOcJjkpRiyM,UCRrJQXM9vlI0cHiAGoILmcw,Cử nhân Trực tuyến Đại học Trà Vinh,Personal,Hệ thống học tập - Chương trình Cử nhân Từ xa Trực tuyến Trường Đại học Trà Vinh,4,30,146868,2025-10-17T03:37:41Z,1M26S,0
VTgOIsQ__dM,https://www.youtube.com/watch?v=VTgOIsQ__dM,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,🎓 Tuyển Sinh Ngành Luật Kinh Tế Hệ Từ Xa - Trường Đại Học Mở EHOU ⚖️ #luatkinhte,2,102,6884,2025-10-03T07:45:30Z,27S,0
YVUr8jhgefA,https://www.youtube.com/watch?v=YVUr8jhgefA,UCxJ20Q1wx0VGrED-vMhbF1A,Đại học từ xa,Personal,Chương trình đào tạo trực tuyến - đào tạo hệ từ xa Học Viện Tài Chính,0,594,81,2024-05-13T04:30:11Z,13S,0
V_vtgd6Z8pY,https://www.youtube.com/watch?v=V_vtgd6Z8pY,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,💥Ngành NGÔN NGỮ ANH Hệ Từ Xa - Trường Đại Học Mở EHOU #tienganhchonguoidilam #tienganhonline,16,102,21462,2025-10-17T03:56:18Z,51S,1
3wHD6AD4FUY,https://www.youtube.com/watch?v=3wHD6AD4FUY,UC7AF-NDKwnSsuLWCbhAm4uQ,HVCN Bưu Chính Viễn Thông - Đại Học Từ Xa PTIT,Personal,3 Ngành Đào Tạo Từ Xa Tuyển Sinh - Đại Học Online 100% #ptit #elearning #shorts,1,42,106,2024-10-08T07:00:01Z,19S,1
G5wGJdqFbLc,https://www.youtube.com/watch?v=G5wGJdqFbLc,UCyi2MzA6A94qBnbaeGWNWvA,Xuan Pham JP,Personal,Liên Thông Trung Cấp Lên Đại Học Bằng Việc Học Từ Xa Có Đi Nhật Được Hay Không?,13,4920,1287,2024-02-09T03:13:56Z,1M1S,1
g_l-ZsBRSOs,https://www.youtube.com/watch?v=g_l-ZsBRSOs,UC9AVrv1eQaJ9YlvQrl1gfvg,Trường Đại Học Mở Hà Nội Đào Tạo Từ Xa ,Personal,💥 HỌC TỪ XA: BẰNG ĐẠI HỌC CHÍNH QUY KHÔNG CẦN ĐẾN TRƯỜNG | Giải Pháp Cho Người Bận Rộn!,23,102,10427,2025-10-29T04:06:56Z,1M25S,0
bEaMbXSu0JE,https://www.youtube.com/watch?v=bEaMbXSu0JE,UCCv9Vriz2tOkRXHODaFZI9Q,Giáo Dục Trực Tuyến EduOn,Personal,5 Lý Do Bạn Nên Chọn Đại Học Từ Xa - Giáo Dục Trực Tuyến EduOn,15,80,1305,2023-05-16T05:44:45Z,20S,0
_lomjX-RJCo,https://www.youtube.com/watch?v=_lomjX-RJCo,UCG9WA-TT5YVbLQPyS5T458w,Trung tâm đào tạo từ xa Đại học Thái Nguyên TNU,Personal,Khai Giảng ngày 29/03 - Hệ từ xa Đại Học Thái Nguyên - 10 Ngành Học Hot,0,367,10343,2026-03-10T04:19:27Z,34S,0
Nzk1zdMkGwg,https://www.youtube.com/watch?v=Nzk1zdMkGwg,UCCKxw16phFK73O-flJpJgbA,ĐH Từ Xa - Trường Đại học Nông Lâm TUAF,Personal,Chương trình Đại học Từ xa - Đại Học Nông Lâm Thái Nguyên TUAF,71,62,12922,2023-12-08T07:54:37Z,47S,0
4yls5UqM_2M,https://www.youtube.com/watch?v=4yls5UqM_2M,UCSYKkgP-hPULSBKmaYfdVfw,Đại học Kinh Tế Quốc Dân - Hệ từ xa,Personal,5 điều bạn phải biết về Đại học từ xa NEU E Learning,2,27,359,2025-08-22T02:20:33Z,18S,0
cgLbTrJ5fOQ,https://www.youtube.com/watch?v=cgLbTrJ5fOQ,UCCKxw16phFK73O-flJpJgbA,ĐH Từ Xa - Trường Đại học Nông Lâm TUAF,Personal,Chương trình học hệ từ xa Trường Đại Học Nông Lâm Thái Nguyên,0,62,72,2024-09-11T08:58:48Z,3M15S,0
WkjUwFBAXlU,https://www.youtube.com/watch?v=WkjUwFBAXlU,UCCKxw16phFK73O-flJpJgbA,ĐH Từ Xa - Trường Đại học Nông Lâm TUAF,Personal,Ở Nhật nhưng vẫn đang học song song văn bằng khác - Đại học Nông Lâm Thái Nguyên hệ từ xa,19,62,4346,2025-10-06T02:03:27Z,1M1S,0
xfziNJt43pE,https://www.youtube.com/watch?v=xfziNJt43pE,UCG9WA-TT5YVbLQPyS5T458w,Trung tâm đào tạo từ xa Đại học Thái Nguyên TNU,Personal,Ngành Ngôn Ngữ Trung hệ từ xa - Đại Học Thái Nguyên,3,367,630,2025-09-17T07:29:18Z,20S,0
46C4b84bYDw,https://www.youtube.com/watch?v=46C4b84bYDw,UCG9WA-TT5YVbLQPyS5T458w,Trung tâm đào tạo từ xa Đại học Thái Nguyên TNU,Personal,Đại học Thái Nguyên hệ đào tạo từ xa – giải pháp học hiện đại và tiện lợi,2,367,332,2025-10-07T10:31:08Z,27S,0
iHHa16yig0U,https://www.youtube.com/watch?v=iHHa16yig0U,UCj393f51bbTXrKokrv8-rOg,Tuyển sinh Đại học từ xa - Học đại học Online ,Personal,TUYỂN SINH ĐẠI HỌC TỪ XA TRƯỜNG ĐẠI HỌC CÔNG ĐOÀN,1,28,431,2025-10-16T07:03:30Z,14S,1
wHYgXYkJJLg,https://www.youtube.com/watch?v=wHYgXYkJJLg,UCOeENz-SQjIXGtBTNseab6Q,Học Từ Xa VN ILearning,Personal,I-Learning Tuyển Sinh Trung Cấp Hệ Đào Tạo Từ Xa - Học Online Nhận Bằng Chính Quy Tại Nhà,4,213,164,2023-03-10T03:47:06Z,16S,1
